,company_name,company_type,employess,startup_type,years,location,salary_benefit,company_culture,skill_development,work_life_balance,job_security
132,5paisa Capital,Financial Services , 201-500 Employees , Public , 8 years old , Thane +8 more,True,False,False,False,False
133,BharatPe,FinTech , 201-500 Employees , Indian Unicorn , 5 years old , Bangalore +53 more,True,False,False,False,False
134,Treebo Hotels,Internet , 51-200 Employees , Startup , 8 years old , Bangalore +29 more,True,False,False,False,False
135,BridgeLabz Solutions,EdTech , 201-500 Employees , Startup , 7 years old , Mumbai +10 more,True,False,False,False,False
136,TheMathCompany,Emerging Technologies , 1k-5k Employees , Startup , 7 years old , Bangalore +3 more,True,False,False,False,False
137,Acko General Insurance,Insurance , 1k-5k Employees , Indian Unicorn , 7 years old , Bengaluru/Bangalore +5 more,True,False,False,False,False
138,Helloverify,Law Enforcement & Security , 201-500 Employees , Startup , 11 years old , Noida +3 more,True,False,False,False,False
139,Ichhapurti.com,Software Product , 51-200 Employees , Startup , Gurgaon/Gurugram +26 more,,True,False,False,False,False
140,mPokket,Financial Services , 1k-5k Employees , Startup , 7 years old , Kolkata +4 more,True,False,False,False,False
141,Examity,EdTech , 201-500 Employees (Global) , Startup , 10 years old , Needham +4 more,True,False,False,False,False
142,Arzooo.com,Internet , 51-200 Employees , Startup , 7 years old , Bangalore +34 more,True,False,False,False,False
143,Flyhomes,Internet , 201-500 Employees , Startup , 8 years old , Seattle +8 more,True,False,False,False,False
144,Citykart Retail,Retail , 201-500 Employees , Startup , 7 years old , Delhi +46 more,True,False,False,False,False
145,Classcanyon,Education & Training , 51-200 Employees , Startup , 2 years old , Greater Noida +4 more,True,False,False,False,False
146,Leverage Edu,EdTech , 51-200 Employees , Startup , 6 years old , Delhi +8 more,True,False,False,False,False
147,Metawallah,Internet , 51-200 Employees , Startup , 2 years old , Gurgaon/Gurugram +13 more,True,False,False,False,False
148,Hindustan Wellness,Healthcare , 501-1k Employees , Startup , 9 years old , Gurgaon +9 more,True,False,False,False,False
149,Incred Finance,FinTech , 501-1k Employees , Startup , 7 years old , Mumbai +25 more,True,False,False,False,False
150,DeHaat,Agriculture , 1k-5k Employees , Startup , 4 years old , Patna +45 more,True,False,False,False,False
151,BrightCHAMPS,EdTech , 501-1k Employees , Startup , 3 years old , Bangalore +16 more,True,False,False,False,False
152,AVIOM,NBFC , 201-500 Employees , Startup , 7 years old , Delhi +74 more,True,False,False,False,False
153,IndustryBuying.com,Import & Export , 51-200 Employees , Startup , 10 years old , Delhi +11 more,True,False,False,False,False
154,Anunta Technology Management Services,IT Services & Consulting , 201-500 Employees , Startup , 11 years old , Mumbai +13 more,True,False,False,False,False
155,Milkbasket,Internet , 501-1k Employees , Startup , 8 years old , Gurgaon +16 more,True,False,False,False,False
156,Securens System,Law Enforcement & Security , 201-500 Employees , Startup , 11 years old , Mumbai +27 more,True,False,False,False,False
157,MediBuddy,Healthcare , 1k-5k Employees , Startup , 10 years old , Bangalore +13 more,True,False,False,False,False
158,Addverb Technologies,Industrial Automation , 501-1k Employees , Startup , 7 years old , Noida +12 more,True,False,False,False,False
159,Weddingz.in,Internet , 501-1k Employees , Startup , 8 years old , Mumbai +28 more,True,False,False,False,False
160,Futwork,Internet , Startup , 7 years old , Mumbai +8 more,,True,False,False,False,False
161,CallHealth,Healthcare , 51-200 Employees , Startup , 10 years old , Hyderabad +14 more,True,False,False,False,False
162,Bluestone.com,Jewellery , 501-1k Employees , Startup , 12 years old , Bangalore +32 more,True,False,False,False,False
163,SirionLabs,IT Services & Consulting , 201-500 Employees , Startup , 11 years old , Bellevue +4 more,True,False,False,False,False
164,KrazyBee,Internet , 51-200 Employees , Startup , 7 years old , Bangalore +10 more,True,False,False,False,False
165,Vyapar,Software Product , 501-1k Employees , Startup , 8 years old , Bengaluru/Bangalore +18 more,True,False,False,False,False
166,Bazar India,Retail , 51-200 Employees , Startup , 8 years old , Gurgaon +44 more,True,False,False,False,False
167,SpeedLabs,Education & Training , 51-200 Employees , Startup , 8 years old , Mumbai +15 more,True,False,False,False,False
168,VAYA Finserv,Financial Services , 1k-5k Employees , Startup , 9 years old , Hyderabad +42 more,True,False,False,False,False
169,Impact Guru,Internet , 201-500 Employees , Startup , 9 years old , Mumbai +9 more,True,False,False,False,False
170,Xanadu,Real Estate , 501-1k Employees , Startup , 8 years old , Mumbai +9 more,True,False,False,False,False
171,Imarticus Learning,EdTech , 501-1k Employees , Startup , 11 years old , Mumbai +15 more,True,False,False,False,False
172,TALENTEDGE,EdTech , 201-500 Employees , Startup , 11 years old , Mumbai +8 more,True,False,False,False,False
173,Teachmint,EdTech , 501-1k Employees , Startup , 3 years old , Bengaluru/Bangalore +17 more,True,False,False,False,False
174,Classplus,Software Product , 201-500 Employees , Startup , 8 years old , Noida +14 more,True,False,False,False,False
175,Cure foods,Fitness & Wellness , 501-1k Employees , Startup , 7 years old , Bangalore +16 more,True,False,False,False,False
176,Zeta,Emerging Technologies , 501-1k Employees , Indian Unicorn , 8 years old , Bangalore +11 more,True,False,False,False,False
177,bhanzu,Education & Training , 201-500 Employees , Startup , 3 years old , Hyderabad +2 more,True,False,False,False,False
178,ShopX,Internet , 201-500 Employees , Startup , 8 years old , Bangalore +28 more,True,False,False,False,False
179,CityMall,Internet , 1k-5k Employees , Startup , 4 years old , Gurgaon +17 more,True,False,False,False,False
180,Aspiro Pharma,Pharma , 51-200 Employees , Startup , 11 years old , Bangalore +2 more,True,False,False,False,False
181,Pharmarack Technologies,IT Services & Consulting , 51-200 Employees , Startup , 8 years old , Pune +24 more,True,False,False,False,False
182,Blowhorn,Logistics , 501-1k Employees , Startup , 9 years old , Bangalore +15 more,True,False,False,False,False
183,Ketto,Internet , 201-500 Employees , Startup , 11 years old , Mumbai +3 more,True,False,False,False,False
184,FarEye,IT Services & Consulting , 501-1k Employees , Startup , 10 years old , Noida +3 more,True,False,False,False,False
185,Atomberg Technologies,Consumer Electronics & Appliances , 201-500 Employees , Startup , 11 years old , Mumbai +24 more,True,False,False,False,False
186,Livguard,Electronics Manufacturing , 501-1k Employees , Startup , 9 years old , Gurgaon +21 more,True,False,False,False,False
187,Adda 247,EdTech , 51-200 Employees , Startup , 7 years old , Gurgaon +12 more,True,False,False,False,False
188,Tekion,Internet , 1k-5k Employees , Startup , 7 years old , Pleasanton +3 more,True,False,False,False,False
189,LEAP India,Logistics , 51-200 Employees , Startup , 10 years old , Coimbatore +21 more,True,False,False,False,False
190,Innoplexus,IT Services & Consulting , 201-500 Employees , Startup , 8 years old , Eschborn,True,False,False,False,False
191,Voylla,Jewellery , 201-500 Employees , Startup , 11 years old , Jaipur +37 more,True,False,False,False,False
192,Fisdom,Internet , 501-1k Employees , Startup , 8 years old , Bangalore +26 more,True,False,False,False,False
193,CollegeDekho,Internet , 501-1k Employees , Startup , 8 years old , Gurgaon +10 more,True,False,False,False,False
194,Smartworks,Real Estate , 201-500 Employees , Startup , 7 years old , Gurgaon/Gurugram +13 more,True,False,False,False,False
195,ShipRocket,Internet , 201-500 Employees , Indian Unicorn , 11 years old , Delhi +4 more,True,False,False,False,False
196,Avanse Financial Services,Financial Services , 201-500 Employees , Startup , 11 years old , Mumbai +21 more,True,False,False,False,False
197,Fraazo,Internet , 51-200 Employees , Startup , 7 years old , Mumbai +12 more,True,False,False,False,False
198,Yethi Consulting,IT Services & Consulting , 501-1k Employees , Startup , 10 years old , Bangalore/Bengaluru +9 more,True,False,False,False,False
199,Indifi Technologies,Financial Services , 501-1k Employees , Startup , 8 years old , Gurgaon +5 more,True,False,False,False,False
200,Shyplite,Logistics , 51-200 Employees , Startup , 8 years old , Delhi +2 more,True,False,False,False,False
201,Axio,Financial Services , 501-1k Employees , Startup , 10 years old , Bangalore +17 more,True,False,False,False,False
202,Navi Technologies,FinTech , 51-200 Employees , Startup , 5 years old , Bangalore +5 more,True,False,False,False,False
203,Gojavas,Logistics , 1k-5k Employees , Startup , 10 years old , Gurgaon +44 more,True,False,False,False,False
204,Captain Fresh,Logistics , 501-1k Employees , Startup , 4 years old , Bangalore +14 more,True,False,False,False,False
205,Awign Enterprises,Internet , 201-500 Employees , Startup , 7 years old , Bangalore +21 more,True,False,False,False,False
206,Upwork,Internet , 501-1k Employees , Public , 8 years old , Santa Clara +24 more,True,False,False,False,False
207,StoreKing,Internet , 501-1k Employees , Startup , 11 years old , Bangalore +17 more,True,False,False,False,False
208,Furlenco,Internet , 201-500 Employees , Startup , 11 years old , Bangalore +13 more,True,False,False,False,False
209,Garuda Aerospace,Internet , 11-50 Employees , Startup , 8 years old , Chennai +4 more,True,False,False,False,False
210,Hero Housing Finance,Financial Services , 501-1k Employees , Startup , 6 years old , New Delhi +39 more,True,False,False,False,False
211,Fipola Retail,Food Processing , 1k-5k Employees , Startup , 7 years old , Chennai +6 more,True,False,False,False,False
212,LetsTransport,Logistics , 201-500 Employees , Startup , 8 years old , Bangalore +20 more,True,False,False,False,False
213,MamaEarth,Beauty & Personal Care , 201-500 Employees , Indian Unicorn , 7 years old , Gurgaon +24 more,True,False,False,False,False
214,Trell,Internet , 501-1k Employees , Startup , 7 years old , Bangalore +12 more,True,False,False,False,False
215,Droom,Internet , 201-500 Employees , Indian Unicorn , 9 years old , Gurgaon +2 more,True,False,False,False,False
216,Indiafilings,Financial Services , 501-1k Employees (Global) , Startup , 10 years old , Chennai +9 more,True,False,False,False,False
217,WizKlub,EdTech , 11-50 Employees , Startup , 5 years old , Bangalore +5 more,True,False,False,False,False
218,Fynd,Internet , 501-1k Employees , Public , 11 years old , Mumbai +7 more,True,False,False,False,False
219,Wicked Ride Adventures,Internet , 51-200 Employees , Startup , 9 years old , Bangalore +8 more,True,False,False,False,False
220,Fynd,Internet , 501-1k Employees , Public , 11 years old , Mumbai +7 more,True,False,False,False,False
221,Stashfin,FinTech , 11-50 Employees , Startup , 7 years old , Delhi +11 more,True,False,False,False,False
222,FreshMenu,Internet , 201-500 Employees , Startup , 9 years old , Bangalore +6 more,True,False,False,False,False
223,Mfine,Internet , 201-500 Employees , Startup , 6 years old , Bangalore +8 more,True,False,False,False,False
224,Club Oxygen,Hospitality , 201-500 Employees , Public , 5 years old , Mumbai +24 more,True,False,False,False,False
225,Darwinbox,Software Product , 501-1k Employees , Indian Unicorn , 8 years old , Hyderabad +7 more,True,False,False,False,False
226,Xome,Internet , 201-500 Employees , Startup , 11 years old , Lewisville +4 more,True,False,False,False,False
227,Groww,FinTech , 51-200 Employees , Indian Unicorn , 6 years old , Bangalore +4 more,True,False,False,False,False
228,Woodenstreet.com,Furniture & Furnishing , 51-200 Employees , Startup , 8 years old , Jaipur +15 more,True,False,False,False,False
229,Vakilsearch,Legal , 51-200 Employees , Startup , 11 years old , Chennai +6 more,True,False,False,False,False
230,Country Delight,Beverage , 501-1k Employees , Startup , 8 years old , Gurgaon +16 more,True,False,False,False,False
231,Euler Motors,Automobile , 51-200 Employees , Startup , 8 years old , Delhi +10 more,True,False,False,False,False
232,Bikayi,Internet , 201-500 Employees , Startup , 4 years old , Bengaluru/Bangalore +4 more,True,False,False,False,False
233,LimeRoad,Internet , 501-1k Employees , Startup , 11 years old , Gurgaon +4 more,True,False,False,False,False
234,NEARBY TECHNOLOGIES,FinTech , 1k-5k Employees , Startup , 7 years old , Mumbai +25 more,True,False,False,False,False
235,Smarter BIZ Technologies,IT Services & Consulting , 51-200 Employees , Startup , 9 years old , Bangalore/Bengaluru +12 more,True,False,False,False,False
236,DotPe,IT Services & Consulting , 201-500 Employees , Startup , 4 years old , Gurgaon +11 more,True,False,False,False,False
237,Ocrolus East,FinTech , 201-500 Employees , Startup , 9 years old , New York City +3 more,True,False,False,False,False
238,MyCaptain,Internet , 51-200 Employees , Startup , 7 years old , Nagpur +4 more,True,False,False,False,False
239,IndiaLends,Financial Services , 201-500 Employees , Startup , 9 years old , Delhi +4 more,True,False,False,False,False
240,BillDesk,FinTech , 201-500 Employees (Global) , Public , 23 years old , Mumbai +13 more,True,False,False,False,False
241,Senvion,Power , 51-200 Employees , Startup , 6 years old , Hamburg +16 more,True,False,False,False,False
242,Pickrr,Internet , 201-500 Employees , Startup , 8 years old , Faridabad +4 more,True,False,False,False,False
243,90+ My Tuition App,Internet , 201-500 Employees , Startup , 5 years old , Bangalore +13 more,True,False,False,False,False
244,Pin Click,Real Estate , 51-200 Employees , Startup , 9 years old , Bangalore +6 more,True,False,False,False,False
245,Vaidik Eduservices,EdTech , 201-500 Employees , Startup , Noida +6 more,,True,False,False,False,False
246,Housr,Internet , 11-50 Employees , Startup , 5 years old , Gurgaon +5 more,True,False,False,False,False
247,Fitelo,Fitness & Wellness , 51-200 Employees , Startup , 4 years old , Chandigarh +2 more,True,False,False,False,False
248,Unschool Learning,EdTech , 1k-5k Employees , Startup , 4 years old , Hyderabad +7 more,True,False,False,False,False
